Sample_id,      Conc,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
0,0,0.51737,1.05955,0.49838,0.30511,0.30317,0.26943,0.04268,0.03213,0.28095,0.16833
1,0,0.51671,1.05858,0.49793,0.30474,0.30295,0.269,0.04282,0.03178,0.28066,0.16809
2,0,0.51671,1.05955,0.49793,0.30496,0.30291,0.2692,0.04292,0.03178,0.28093,0.16784
3,0,0.51671,1.05955,0.49838,0.30489,0.30258,0.26879,0.04266,0.03149,0.28063,0.1676
4,0,0.51671,1.05858,0.49793,0.30489,0.30265,0.26888,0.04275,0.03157,0.28084,0.16784
5,0,0.51671,1.05858,0.49793,0.30481,0.30269,0.26888,0.04263,0.03149,0.28103,0.16784
6,0,0.51671,1.05858,0.49793,0.30489,0.30273,0.26888,0.04268,0.03142,0.28111,0.16784
7,0,0.51671,1.05858,0.49793,0.30474,0.30273,0.26897,0.0428,0.03164,0.28118,0.16784
8,0,0.51671,1.05858,0.49838,0.30489,0.30284,0.26897,0.0428,0.03178,0.28135,0.1676
9,0,0.51671,1.05858,0.49838,0.30481,0.30295,0.26905,0.04292,0.03185,0.28147,0.16809
10,0,0.51737,1.05955,0.49838,0.30504,0.30306,0.26935,0.04316,0.03199,0.28178,0.16833
11,0,0.51671,1.05858,0.49838,0.30489,0.30291,0.26908,0.04297,0.03164,0.28159,0.16809
12,0,0.51737,1.05955,0.49838,0.30511,0.30299,0.26908,0.04304,0.03164,0.28159,0.16809
13,0,0.51737,1.05858,0.49838,0.30496,0.30313,0.26929,0.04314,0.03199,0.28179,0.16833
14,0,0.51671,1.05955,0.49838,0.30489,0.30295,0.26908,0.0429,0.03171,0.28162,0.16784
15,0,0.51671,1.05858,0.49793,0.30459,0.30284,0.26905,0.04287,0.03178,0.28151,0.16784
16,0,0.51671,1.05858,0.49793,0.30466,0.30243,0.26879,0.04263,0.03135,0.28127,0.16735
17,0,0.51671,1.05858,0.49793,0.30481,0.30262,0.26888,0.04275,0.03157,0.28153,0.16784
18,0,0.51671,1.05858,0.49793,0.30474,0.30276,0.26897,0.0428,0.03164,0.28142,0.16784
